title;description;url;image
Todo App;A distraction-free web app to help you focus on creating and completing tasks.;https://github.com/Debiddo618/todo-app.git;1.png
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://pythonhow.com;2.png
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://github.com/Debiddo618/python-pdf-generator.git;3.png
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://github.com/Debiddo618/python-excel-to-pdf-inovice.git;4.png
Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;https://github.com/Debiddo618/python-weather-api.git;6.png
Tour Scraper;A program that checks a music band's website and sends an email when there are new tours.;https://github.com/Debiddo618/python-tour-webscraper.git;8.png
Helper Chatbot;A chatbot that knows about a specific topic and answers questions regarding that topic.;https://github.com/Debiddo618/python-chatbot-gpt-gui.git;9.png
Webcam Motion Detector;A program that monitors the computer webcam and sends an email when a new object enters the view.;https://github.com/Debiddo618/python-webcam-detection.git;11.png
Text Analyzer;A program using Regex and Sentiment Analysis to analyze text.;https://github.com/Debiddo618/python-text-sentiment-analyzer.git;12.png
Visualizing Weather Forecast;A data web app that visualizes the weather forecast for the next five days of any city.;https://github.com/Debiddo618/python-weather-forecasting.git;16.png
Student Management System;A desktop PyQt6 GUI app for managing university student data with an SQL database backend.;https://github.com/Debiddo618/python-student-management.git;17.png
Restaurant Menu Web App;A Django web app to let customers see a restaurant menu and meal availability.;https://github.com/Debiddo618/python-restuarant-menu.git;19.png
Positive News Site;A website that gets data from a news API and uses sentiment analysis to publish only positive news.;https://pythonhow.com;5.png
Download Cleaner;A script that monitors the Downloads folder and deletes old files keeping the folder clean.;https://pythonhow.com;7.png
Open Domain Chatbot;A chatbot built that can discuss anything with a human and is built using the Facebook API.;https://pythonhow.com;10.png
Internet Speed Analysis;A program that records the internet speed every few seconds and plots the values on the browser.;https://pythonhow.com;13.png
Monitoring Data;A program that monitors a particular website and periodically records the data to a remote server.;https://pythonhow.com;14.png
Visualizing Data;A program that visualizes the data collected in the previous monitoring program. ;https://pythonhow.com;15.png
School Management System;A desktop PyQt6 GUI app for managing complex university data with an SQL database backend.;https://pythonhow.com;18.png
Online Store;A Django online store app where users can place orders and sellers can manage them.;https://pythonhow.com;20.png